Year;Income Inequality, Bottom 50% Share;Wealth Inequality, Bottom 50% Share;GDP - Growth Rate;Investment-GDP Ratio;Labour Productivity - Growth Rate (Author Estimates);Labour Productivity - Growth Rate (BLS Estimates);Potential Output - Growth Rate;Population - Growth Rate;TFP - Growth Rate (Author Estimates);TFP - Growth Rate (BLS Estimates);Income Inequality, Top 1% Share;Wealth Inequality, Top 1% Share;Adjusted Wage Share;Unemployment
1870;;;;0.1638243;;;;;;;;;;
1871;;;1.861949931;0.1389987;;;;2.130607796;;;;;;
1872;;;1.511516315;0.2419198;;;;2.525670349;;;;;;
1873;;;2.261581186;0.2253714;;;;2.46345168;;;;;;
1874;;;-3.409074494;0.1785377;;;;2.404224765;;;;;;
1875;;;2.832488372;0.1921569;;;;2.336469737;;;;;;
1876;;;-0.933668795;0.1750903;;;;2.303016908;;;;;;
1877;;;1.212583861;0.1808686;;;;2.2425303;;;;;;
1878;;;2.243817536;0.1875895;;;;2.191230851;;;;;;
1879;;;10.36145946;0.1724359;;;;2.146313221;;;;;;
1880;;;9.753714844;0.2036538;;;;2.141700405;;;;;;
1881;;;1.165323714;0.1857759;;;;2.54667248;;;;;;
1882;;;3.613146714;0.1959836;;;;2.481495081;;;;;;
1883;;;-0.474860335;0.1887805;;;;2.421407962;;;;;;
1884;;;-0.752175133;0.1876271;;;;2.364161956;;;;;;
1885;;;-1.573440416;0.1696552;;;;2.309560212;;;;;;
1886;;;1.035465557;0.2012295;;;;2.259181772;;;;;;
1887;;;2.622988114;0.1939695;;;;2.207551063;;;;;;
1888;;;-2.58365569;0.185036;;;;2.159870811;;;;;;
1889;;;4.099442485;0.1458273;;;;2.114206679;;;;;;
1890;;;-0.444842775;0.1846358;3.693658249;;;2.073658411;6.046951968;;;;;
1891;;;1.080297741;0.1647403;1.768633149;;;2.069444883;-0.404871953;;;;;
1892;;;2.377538829;0.1907317;6.099188732;;;2.027487154;8.596802852;;;;;
1893;;;-2.401892657;0.1671429;-3.789877289;;;1.985680046;-6.978654883;;;;;
1894;;;-5.053535518;0.1670922;0.595557181;;;1.948505898;-2.189097064;;;;;
1895;;;10.02335539;0.1607692;5.521237688;;;1.91126479;6.026113359;;;;;
1896;;;-3.860521743;0.1425161;-1.985829479;;;1.875420538;-6.054213456;;;;;
1897;;;6.407550519;0.1476543;6.24008812;;;1.840895996;6.598959864;;;;;
1898;;;0.770005391;0.1296685;1.092335528;;;1.8076196;-0.7967141;;;;;
1899;;;10.00020188;0.1324615;1.917733356;;;1.775524864;4.037942916;;;;;
1900;;;0.220233999;0.1500971;1.433469576;;;1.731232771;0.622156459;;;;;
1901;;;10.28704848;0.1496413;6.7431432;;;1.959654933;9.159620259;;;;;
1902;;;-0.322955583;0.160166;-3.187849494;;;2.029837716;-4.010001044;;;;;
1903;;;1.015317214;0.1475676;1.876063012;;;1.858586367;1.017017917;;;;;
1904;;;1.883245383;0.1406226;0.134781607;;;1.901267512;-1.829702707;;;;;
1905;;;7.165517465;0.1414583;2.347888258;;;2.014911802;3.390903702;;;;;
